date,x,y,mu_x,mu_y
2003-03-21,1.5054901200920228,0.4555070295709953,0.783020731263712,0.2053274052191545
2003-03-22,2.9845811494795997,4.523075337349692,0.7880731682705254,0.17367378240670875
2003-03-23,2.0181079312056243,0.9960448402649758,0.7995065620133698,0.16039873838632768
2003-03-24,3.859507425150998,-4.167242589574509,0.8177818681454406,0.13889576723603483
2003-03-25,1.3261279420371026,-3.388055565763493,0.8237853373325985,0.11002687299630085
2003-03-26,1.4189406687858441,3.7086754453155795,0.8227965374611369,0.09560500727549012
2003-03-27,3.380531830432697,4.646841734396013,0.808648361650705,0.08066570860545991
2003-03-28,2.3815721139196553,-1.6242923480823301,0.7974958770778611,0.07666055270804122
2003-03-29,2.1168172217888523,3.009360663734971,0.8045823550824664,0.08849814231891254
2003-03-30,2.8938654560201926,4.697221745926013,0.8108694915216889,0.08329162292201332
2003-03-31,3.0165310820483833,-7.445172711206276,0.8036962572964366,0.09072982476116222
2003-04-01,-1.0920163718494313,0.5734465410887188,0.8039512553187693,0.08358535284495958
2003-04-02,-5.990153245824841,4.206411346955097,0.8148494281953956,0.09558734735422
2003-04-03,-2.8220356309176866,-2.1153401132873757,0.8411532280133495,0.10870185517514838
2003-04-04,2.468901667362443,1.774175079487369,0.849209024366169,0.12416199929374315
2003-04-05,2.1808894712723372,-6.6050695589588795,0.8636981470305971,0.1472036084868532
2003-04-06,-0.5937756686321174,-9.8950089286317091,0.8680293873385428,0.16118951678594476
2003-04-07,-1.739908393491738,-7.3187276036569715,0.8728322004855206,0.16521980790518784
2003-04-08,-1.2134404267226337,-5.175262009688514,0.8807824353732632,0.14914880049892476
2003-04-09,-5.403182215305109,-6.3730514253966835,0.880654469353348,0.15368796663287285
2003-04-10,-6.87867993770484,0.029280603540936017,0.8816507034345422,0.13749440160191442
2003-04-11,-4.511502027812422,6.392158587744408,0.8828846082361059,0.14271743339321308
2003-04-12,-3.1967917679503954,-0.11603358829189213,0.8908182714266673,0.14936891456827528
2003-04-13,1.2224255599777618,-2.2511088642728434,0.8813996774803516,0.14870047134910283
2003-04-14,1.6986354842350904,-1.0822188248338018,0.8667821779041393,0.15589577271753333
2003-04-15,1.562839034358547,1.1781235221965976,0.8512299119285157,0.15144073250439338
2003-04-16,2.6248418037525814,3.30755699849602,0.8333130798355823,0.1539015030482966
2003-04-17,-0.35056231639617785,-4.946307207656826,0.8366136520114165,0.17058594272491523
2003-04-18,-2.6308628210912652,-3.265346402042027,0.8340074196716223,0.16686345391054744
2003-04-19,0.3773562493369473,0.3499732534436661,0.81725378667481,0.1954645563141594
2003-04-20,0.6200008543094643,-0.5239990756485199,0.8027264182704511,0.20511609244741885
2003-04-21,0.8023227374495114,-1.5446468435406013,0.7933311581196884,0.22378150289565116
2003-04-22,0.2673110791358522,0.7247422738524656,0.7620912163378537,0.238966998223825
2003-04-23,-1.9601430031761813,-2.0142249343532512,0.7282735032495175,0.2520078615285075
2003-04-24,-1.6031819585720015,-5.093315757282248,0.6951564045011068,0.2745443630868669
2003-04-25,0.2868906021559598,-2.4288575285452456,0.6890224573277564,0.30545872645216404
2003-04-26,-0.3867245363980049,2.215115173287536,0.685269587022872,0.3489960087799439
2003-04-27,-4.149018180010062,4.203694793448168,0.682735747661863,0.3404632543543487
2003-04-28,-3.8719806874519227,3.502629361125486,0.6807194553342999,0.3381108231569811
2003-04-29,0.5491550924392214,2.097943393709257,0.6712914945231493,0.3126061102508065
2003-04-30,0.4632160196966353,4.230222772344671,0.6571220020750316,0.2971297710578068
2003-05-01,-0.9137835733815214,2.8499681867632014,0.6531527414184434,0.30415865753452204
2003-05-02,4.284694943835901,-6.117046725786902,0.6446256217383337,0.3179189984439983
2003-05-03,0.6820827662528332,0.9867900519000463,0.6370347531350913,0.32162416986117576
