date,x,y,x_0,y_0,mu_x,mu_y,scale,r,maha_dist
2003-03-21,1.5054901200920228,0.4555070295709953,0.22632470682817452,0.03639176989462587,0.6456812389057119,0.3172544835012317,3.7990058320900726,0.23326100439114394,0.8861599160811439
2003-03-22,2.9845811494795997,4.523075337349692,0.6149680511848735,1.1070840342423645,0.6548130132921803,0.32895646875126383,3.788437678508013,1.1892718185390312,4.50548216734101
2003-03-23,2.0181079312056243,0.9960448402649758,0.35942452606622755,0.17166421972021192,0.66129927338934,0.34802145103542875,3.7749473378070997,0.3911715004496844,1.4766518142485447
2003-03-24,3.859507425150998,-4.167242589574509,0.8484074745766665,-1.2030573943172957,0.6619381856688725,0.3669693695079901,3.768907435755007,1.5355884988523592,5.787490911584526
2003-03-25,1.3261279420371026,-3.388055565763493,0.1781756592436739,-0.9984564422340318,0.6546136474245604,0.3749599682000194,3.768832945324905,1.0063916583481638,3.792922037882726
2003-03-26,1.4189406687858441,3.7086754453155795,0.2023448607415385,0.8863857245318617,0.6577651824467062,0.3742933291499591,3.761773259521582,0.8638055775055672,3.24944072288604
2003-03-27,3.380531830432697,4.646841734396013,0.7248247018487891,1.136869738171891,0.6565600383507856,0.3743588979903823,3.7581111476112175,1.2666098878332748,4.760060739140823
2003-03-28,2.3815721139196553,-1.6242923480823301,0.4597098955506848,-0.5301542498796956,0.6542552190773425,0.3677126132045798,3.7574063807636033,0.7379087766586103,2.7726231458385273
2003-03-29,2.1168172217888523,3.009360663734971,0.3884904542572099,0.7040543488625802,0.6578523101922007,0.36530447241487485,3.755471712647815,0.7551451995335428,2.8359264357900096
2003-03-30,2.8938654560201926,4.697221745926013,0.5964213556545271,1.1609422213183984,0.659644325779729,0.34828015074894936,3.7460448205926085,1.2259581609449826,4.592494219071192
2003-03-31,3.0165310820483833,-7.445172711206276,0.6312352686814653,-2.085773494232399,0.6614490075611607,0.33666080067578164,3.7309101555851862,2.194439209191397,8.187255531386509
2003-04-01,-1.0920163718494313,0.5734465410887188,-0.4704766996070696,0.06520981711498698,0.659258300146387,0.3307133702976183,3.72234092242706,0.4980709683272673,1.8539899476774593
2003-04-02,-5.990153245824841,4.206411346955097,-1.7862286919696555,1.0428564166574614,0.6600321643797601,0.3238242190177769,3.723031345371298,2.2025333367882958,8.200100652088063
2003-04-03,-2.8220356309176866,-2.1153401132873757,-0.9372550505877648,-0.6529147370219687,0.666316687600615,0.3147312266931781,3.721881590641427,1.100880775139738,4.097347890483656
2003-04-04,2.468901667362443,1.774175079487369,0.4822770522609526,0.3920113043946565,0.6718530690588308,0.3134724361021849,3.7261747990681036,0.5945801785663818,2.215509677399465
2003-04-05,2.1808894712723372,-6.6050695589588795,0.40376960021995534,-1.8581068271550665,0.6770431249275206,0.3154790945635625,3.7245160247962934,1.8956838259719997,7.060504787779861
2003-04-06,-0.5937756686321174,-9.8950089286317091,-0.3423274838508795,-2.7421470283432905,0.6805212633128304,0.312496194392415,3.722449969865818,2.6485499027763004,9.859094505777755
