date,x,y,x_0,y_0,mu_x,mu_y,scale,r,maha_dist
2003-03-21,1.5054901200920228,0.4555070295709953,0.12157456154179491,0.06383108021427913,1.0396776829188543,0.2109385058195224,3.83149592534645,0.13412253593480805,0.5138899499313498
2003-03-22,2.9845811494795997,4.523075337349692,0.5020952350801009,1.119127225326771,1.059249577537628,0.2316763568401394,3.834594390514017,1.1525463602862938,4.41954780796117
2003-03-23,2.0181079312056243,0.9960448402649758,0.2522569441793509,0.19227508034603452,1.0491839251981163,0.2575123819797491,3.841020151733137,0.30406069044056794,1.1679032393321127
2003-03-24,3.859507425150998,-4.167242589574509,0.727164610079827,-1.1442016110401734,1.071586966743516,0.21958129561362275,3.8339605912634127,1.409207749516297,5.402846976548485
2003-03-25,1.3261279420371026,-3.388055565763493,0.07114311114529329,-0.9390895924972201,1.0533955794172485,0.21201363489905625,3.833573739316258,0.9231881513588664,3.539109853497273
2003-03-26,1.4189406687858441,3.7086754453155795,0.09503403922573535,0.9153898000830593,1.052864608031674,0.1825463362183457,3.8520519988067212,0.8838387405084003,3.4045927869981982
2003-03-27,3.380531830432697,4.646841734396013,0.5983164325502024,1.1458615402438128,1.0669037629197216,0.2159130873388543,3.8668970826216573,1.2131865061276352,4.691267361220914
2003-03-28,2.3815721139196553,-1.6242923480823301,0.34038881732617315,-0.4842269904199102,1.0691034633709104,0.24278645217892683,3.8557925047551986,0.6179412507025727,2.3826532428380327
2003-03-29,2.1168172217888523,3.009360663734971,0.27390191934009916,0.7155873856732933,1.0601876870261375,0.24884416853221253,3.857693065124953,0.7214230558304892,2.7830287194985295
2003-03-30,2.8938654560201926,4.697221745926013,0.4846640006798162,1.1615220029041,1.0389821969247748,0.25189938809503715,3.827152948214964,1.1836026312997574,4.529828299893856
2003-03-31,3.0165310820483833,-7.445172711206276,0.5216388374084299,-2.0058091639548703,1.0259372286152255,0.20907215438881252,3.8160384363301803,2.0781466414441203,7.930287460081237
2003-04-01,-1.0920163718494313,0.5734465410887188,-0.5402812994103259,0.09562095276436758,0.9706456296286375,0.2083891052169698,3.817755683436203,0.5771733690742767,2.2035069101113414
2003-04-02,-5.990153245824841,4.206411346955097,-1.825437610227172,1.0521153328656183,0.992011633985649,0.18214741950690405,3.824926604279602,2.245461236469547,8.588724422250941
2003-04-03,-2.8220356309176866,-2.1153401132873757,-1.000251589389522,-0.5880072176950061,1.005246868202789,0.13456356845947057,3.8263198376484056,1.1268724636395844,4.311774462123873
