k,gamma
100,-0.16677876659344487
101,-0.16872876150565674
102,-0.16267232989310343
103,-0.16033675019856053
104,-0.16854681370124308
105,-0.15421307789031086
106,-0.15013765950117813
107,-0.1576551319189899
108,-0.14676515760707437
109,-0.158277472844652
110,-0.21647494667813733
111,-0.2024881384071502
112,-0.19183114737613222
113,-0.19292073691730588
114,-0.181214281520551
115,-0.18805988249337086
116,-0.17841575984888647
117,-0.17575795991780627
118,-0.16205836341498472
119,-0.1619369671137723
120,-0.15486948669171613
121,-0.16186950684046678
122,-0.16029233491839753
123,-0.15732066853202925
124,-0.14843520227532053
125,-0.13831121462642876
126,-0.1762042515323381
127,-0.16424331704040196
128,-0.1564002804780134
129,-0.15398453577703794
130,-0.14199421274790217
131,-0.14815429050710105
132,-0.14249539831624725
133,-0.1389456384936536
134,-0.1291428359129544
135,-0.12194984570049197
136,-0.1430551280769527
137,-0.1383201434411404
138,-0.13494500105367058
139,-0.13230116427807465
140,-0.12939848999385256
141,-0.11894250032493923
142,-0.10886794277265362
143,-0.10270591093504317
144,-0.15159145431969268
145,-0.1412854352486757
146,-0.133786402360472
147,-0.12470226794063168
148,-0.11452417965394054
149,-0.10734615476612384
150,-0.09837720479182892
151,-0.09230569376266454
152,-0.09022563885431621
153,-0.0870658173507923
154,-0.07914695268987186
155,-0.08383765841423235
156,-0.08614611898911824
157,-0.08680448824309096
158,-0.09403141281670334
159,-0.08491723001333289
160,-0.08848003064513231
161,-0.08768571056608636
162,-0.08086404038385442
163,-0.07214801496752729
164,-0.0711203536597778
165,-0.06401426108368131
166,-0.058772077408849974
167,-0.07125132593534031
168,-0.07035997989586522
169,-0.08106077467364467
170,-0.07855746730125975
171,-0.07836275175910229
172,-0.09328479847867288
173,-0.14425328627708295
174,-0.1379995115887704
175,-0.1297583185988324
176,-0.136147837787573
177,-0.13111074807039336
178,-0.1220260561362145
179,-0.12654651927938548
180,-0.11895537544124749
181,-0.11492516050691431
182,-0.1322876670967405
183,-0.12602082497807499
184,-0.12933380768148472
185,-0.14022507603701817
186,-0.13674682002082533
187,-0.14262861883502678
188,-0.134166166603174
189,-0.14030591486514657
190,-0.1335414808647007
191,-0.13070800279420586
192,-0.1277837398716018
193,-0.12685374179537268
194,-0.11851800092655579
195,-0.12151540973482802
196,-0.11610228787456593
197,-0.11703881195147671
198,-0.13077931271263132
199,-0.13571504630029224
200,-0.12893975354734727
201,-0.13975005899315096
202,-0.1336409509599117
203,-0.12742288849273659
204,-0.11957587538129896
205,-0.11189344154942298
206,-0.1069787613021567
207,-0.11441928303807343
208,-0.10741821269080029
209,-0.10788722447004226
210,-0.10521505161771486
211,-0.10280354907818158
212,-0.0994494816355656
213,-0.09321379183609478
214,-0.093896667450276
215,-0.09963573433548929
216,-0.10342342717780252
217,-0.09681212724335814
218,-0.09007967268346419
219,-0.08627617476773475
220,-0.08878916951200669
221,-0.09053585841282043
222,-0.09093409080605065
223,-0.08527385841098949
224,-0.0795584612633411
225,-0.10647283175303504
226,-0.09981845675446258
227,-0.09694406707021007
228,-0.0916821291965214
229,-0.09413938198958771
230,-0.09626029987046414
231,-0.09056864321636264
232,-0.091976528321306
233,-0.09754569697292573
234,-0.10951927318417566
235,-0.1044065648617804
236,-0.09846080434190789
237,-0.09539269470090243
238,-0.10730476902979807
239,-0.10195101700257146
240,-0.10642880263417924
241,-0.10631964205302956
242,-0.11345724644815855
243,-0.11579623537384252
244,-0.11363174523669592
245,-0.11351760433984197
246,-0.11152511222895085
247,-0.10657402058676227
248,-0.11819178142600496
249,-0.11167493803797995
250,-0.10863938609340643
251,-0.10895258461170335
252,-0.10705303756954478
253,-0.10577456204351772
254,-0.09976736472464977
255,-0.10427915652815518
256,-0.11285991424765278
257,-0.11359641779272964
258,-0.11516317049408979
259,-0.14909540523687853
260,-0.1497594235176798
261,-0.16645106931789275
262,-0.16176710099651254
263,-0.15543355781335588
264,-0.17044406809289037
265,-0.17480921429923524
266,-0.1721944685220714
267,-0.17950153508714395
268,-0.19231689145562209
269,-0.18586260849686387
270,-0.17983873081990198
271,-0.17460298216595263
272,-0.17171523644571035
273,-0.18321786841544926
274,-0.21495813059800412
275,-0.21480172890459492
276,-0.22292844180152346
277,-0.2171120486838401
278,-0.21964736367986246
279,-0.21258864495231458
280,-0.2057831000119194
281,-0.19978504244805867
282,-0.19407514176217822
283,-0.19446538076957498
284,-0.18774865851009553
285,-0.19328563750429467
286,-0.19834203601563535
287,-0.20015879798284986
288,-0.20102425351894054
289,-0.20392213420753147
290,-0.2023927906775284
291,-0.2066656690951752
292,-0.20467039036489865
293,-0.20712097898356402
294,-0.2029316585521132
295,-0.20070540050736302
296,-0.20149866771062058
297,-0.19999202704001082
298,-0.20295766220585135
299,-0.1990194561593852
300,-0.19377894580170402
301,-0.1943736740677169
302,-0.19357782563500542
303,-0.203552471473824
304,-0.20305888439700742
305,-0.19898161328157243
306,-0.19616781773032863
307,-0.19136038932189364
308,-0.18536025225227987
309,-0.19914554720012984
310,-0.20128626948333206
311,-0.19765573325024527
312,-0.19140294084434864
313,-0.18587611657569675
314,-0.19644052819101487
315,-0.20666449952974295
316,-0.20917574083950405
317,-0.20444230490551224
318,-0.20056758122106358
319,-0.19954570999453003
320,-0.19747217321331972
321,-0.19830563144013896
322,-0.19397790223830713
323,-0.19188371168959792
324,-0.19812950175063665
325,-0.19403191644911977
326,-0.20417441094069963
327,-0.20122357336202665
328,-0.1973970002827255
329,-0.19636488837426036
330,-0.20422806501246826
331,-0.20732359351016633
332,-0.2147386556954432
333,-0.21768016975558901
334,-0.21508777497293874
335,-0.21243711318423372
336,-0.2113406181062105
337,-0.2191838843901258
338,-0.21759791785886395
339,-0.21648768194290957
340,-0.21155128934735218
341,-0.211769636964772
342,-0.22078738869770775
343,-0.21702173607048772
344,-0.21234863616833902
345,-0.20933898820777702
346,-0.20621808785064916
347,-0.20257137209184573
348,-0.1974850465068177
349,-0.19577251210328733
350,-0.1934782549323031
351,-0.18927506752638334
352,-0.1901339883378243
353,-0.19304865246254446
354,-0.20163228275184392
355,-0.20411677796697042
356,-0.2175541896132995
357,-0.21693192312300486
358,-0.2119980835244747
359,-0.20983614948210239
360,-0.211367595854699
361,-0.20949735119273016
362,-0.2190508818071597
363,-0.21378108881308502
364,-0.21985988068441675
365,-0.2195822529117175
366,-0.2218556664134278
367,-0.2246291254234168
368,-0.2191059860592936
369,-0.21477095354785838
370,-0.2161510559321865
371,-0.21128680014063406
372,-0.2100228234112153
373,-0.20461692072439044
374,-0.20152945660713736
375,-0.20030008320277437
376,-0.2085969138724268
377,-0.2115830563826469
378,-0.20700250772770828
379,-0.2057394273894837
380,-0.20550671666703452
381,-0.2046206342915997
382,-0.1998036803346817
383,-0.19541706537653664
384,-0.1925570031664899
385,-0.19334898014464885
386,-0.1930381772845985
387,-0.18927052702422817
388,-0.19128440796976615
389,-0.19779546464395154
390,-0.20854030548802233
391,-0.20476322508098138
392,-0.2071429078741948
393,-0.20430037858240288
394,-0.20837148899244473
395,-0.20732154037301076
396,-0.2032422592274943
397,-0.2058519628248759
398,-0.20195585101273017
399,-0.1990198109843419
400,-0.1973410156041187
401,-0.19319108194910536
402,-0.19063262885928944
403,-0.18770798043905346
404,-0.18827207825907144
405,-0.18419811471470968
406,-0.18565090321007183
407,-0.18133960076030312
408,-0.19270797912166648
409,-0.19623136232870797
410,-0.19153925366937152
411,-0.18680959320911822
412,-0.18778696491845775
413,-0.18537721200074375
414,-0.1891297976055412
415,-0.18543108588631324
416,-0.18250951721692105
417,-0.1823564022859723
418,-0.1802961440179412
419,-0.17969642729748664
420,-0.181793295971577
421,-0.18617233217800122
422,-0.19084524053966673
423,-0.19350915401978713
424,-0.19758874427430964
425,-0.211133720827223
426,-0.20985055413248688
427,-0.20648631464598344
428,-0.2101402575887411
429,-0.2111360423173727
430,-0.2146072865346283
431,-0.21074878680374126
432,-0.20624592848119816
433,-0.20274145691378687
434,-0.20099190173264872
435,-0.2039400778891266
436,-0.20461077716765466
437,-0.2023289543343079
438,-0.20025476377815796
439,-0.2086603951061451
440,-0.20945797005385322
441,-0.20480521314637218
442,-0.2184126951331757
