x_0,y_0,x_0_thin,y_0_thin
1,0.9999999999999998,1,1
0.582456895548971,0.5431934132371485,0.035814843152436764,0.017330109484973055
0.3142205558451989,0.25337583725322754,0.004563926429865811,-0.01359533244101762
0.21465065164355962,0.17220586194833543,-0.04517846456241313,0.009209396465249261
0.1564841155528208,0.12192397331646296,-0.01467738742277935,0.00501825400026076
0.09985770545875429,0.08250254964826596,0.022131522955866314,-0.08072982127750786
0.07806384766953138,0.051538186709303775,-0.021715635111355103,-0.037230649418074635
0.06020807898021802,0.038045287179868485,0.050341113896404964,-0.005129834112871704
0.04696367466128308,0.03203163702016235,-0.02801793722157061,-0.04455746038344583
0.040949780667595706,0.031123157951072178,0.03195680481415487,-0.023219856489041478
0.0444926463291116,0.016180648793476193,0.02408139763671889,0.005964581140906887
0.05085815349971362,-0.01188595101637275,-0.025921668012433705,-0.004171480795500538
0.04559852824382443,-0.0185489745055461,-0.012101419919316746,0.014337063162740587
0.03038787135726432,-0.01366311992707479,0.02390213458584292,-0.02566079865136436
0.032101088778200434,0.008020463541410804,-0.021826696731322922,0.007335961069789278
0.024467743625787294,0.0209882226614579,0.05969157101227566,0.008174977908079669
0.010169349627136615,0.0044936960456635104,0.034436046714093844,-0.013726973425698634
-0.005307734817461417,-0.005195471413224484,-0.0033927376976461013,-0.00673561152610119
-0.0022414880072306495,-0.007520748831454408,-0.021005044670978513,0.04919420394953441
-0.0051506742478281105,-0.010880353114418378,-0.0045012710145334945,-0.04329104368811337
-0.008369259452073561,0.006269202485016515,-0.021055283604347743,-0.04162266449018135
-0.0035293661899339188,0.0174224836405792,-0.04413405516202754,0.0031076811627314136
0.00842953349728722,0.01050048045124677,-0.03789450928340585,-0.009509778879771912
0.012788978354503476,-0.003428403914521387,0.0017435404898556023,-0.0015996165925958807
0.02725602613732986,3.9023629266911997e-4,0.05107787342002069,0.02319344626189944
0.020491204445226306,0.006874993493653604,0.01572905501738979,0.006099730180978196
0.009088306292428381,0.007823363381030776,-0.027385679689622286,-0.03344444303339975
-0.0060020677922967575,-0.004083910578277522,-0.049004710423280896,-5.802573804616967e-5
-0.008926600481481113,-0.007461125996202516,-0.004543117756844262,-0.04519513210337531
0.008022320393290153,-0.005985175072766598,0.03558942605203102,-0.003834084857046203
0.015342913792734107,-0.015536697968295052,0.00634035281108541,-0.00212553420580484
